image_id,viewpoint_id
356278,0
105615,1
314443,2
682193,0
834214,0
628069,3
471803,2
522473,4
270918,0
136498,5
107398,5
363640,6
531432,6
164751,6
735575,6
619784,6
5678,7
974403,8
690792,9
139420,9
856856,9
295593,7
534918,10
681969,11
288555,11
367928,11
768913,10
324163,11
536046,12
126725,10
672431,13
927501,14
788756,15
824304,16
103508,17
209572,18
48119,19
237107,20
579504,21
678263,22
15372,23
495050,24
403057,25
783069,26
496131,27
469996,28
170046,29
590031,30
112028,30
499411,31
884547,30
870286,30
303799,32
221067,33
885859,34
8464,34
901092,35
874010,35
97173,34
224684,34
712275,34
259802,35
500848,35
69942,35
170198,36
365539,37
704817,38
65440,39
769978,39
24306,40
598485,41
675817,42
134751,43
505548,44
264840,45
11507,45
488165,46
274477,46
677189,46
695806,46
848428,46
289019,47
95556,47
563342,48
275989,35
690714,49
510430,50
309104,35
294537,51
29419,52
216986,53
703492,54
718071,55
739729,56
406212,57
226660,58
94964,59
213596,60
650578,61
817338,62
724695,63
904285,63
837848,63
353105,64
660145,64
731932,65
211178,64
613913,66
144900,64
371892,64
208115,64
35460,64
938656,67
364878,64
738311,64
392333,64
462158,64
970663,64
114048,64
613043,64
128006,68
591151,69
502988,70
14611,71
846748,72
771566,73
199495,74
609497,74
671853,75
128109,76
793082,77
822862,78
431131,79
176476,80
146087,81
885835,81
680602,82
640901,83
239316,84
566454,84
831648,85
445899,86
624470,87
143389,87
245679,88
494507,88
201912,88
933425,87
169862,89
7537,90
974108,90
274803,90
249936,90
113186,91
628625,92
580370,93
244862,94
472782,95
778549,96
678697,97
82898,98
872076,98
55279,99
104093,100
993070,101
347496,102
313609,103
450153,11
167633,104
312073,11
839856,11
383867,11
814927,11
305862,105
511474,106
659824,106
966913,107
929609,106
886258,107
363908,107
918162,107
741206,108
548382,107
375388,107
786987,107
680584,107
81253,107
834923,107
213715,107
355119,107
748710,107
312839,107
943185,107
462866,109
608925,110
969189,110
9974,35
623412,111
787923,112
125874,113
851607,114
804972,115
414767,116
295448,116
417052,117
880450,118
87331,119
26676,120
89353,121
475946,122
47004,123
268441,35
293423,124
944782,125
43562,126
971138,127
927553,116
405122,116
372696,116
963183,116
625282,116
907350,11
608473,11
711260,116
429979,116
693310,116
248653,116
860348,11
494041,116
239369,128
725572,116
680083,116
839335,129
212421,129
725101,130
982356,129
383113,35
418937,11
374684,116
982420,116
31804,131
320749,132
686396,133
779425,134
240004,135
616242,11
216780,136
854092,137
901996,135
317732,138
210817,139
206708,139
582332,140
547057,141
103252,142
55958,116
434827,143
408877,119
743068,144
898359,145
336921,146
6703,147
688989,11
54069,148
244824,148
648831,11
641762,149
174886,116
774389,111
187539,11
728325,11
449061,11
601986,150
69677,151
362125,151
786759,151
202708,151
299645,152
536542,153
395805,152
54079,130
989693,116
118856,154
586936,116
566390,155
911640,156
515778,116
409412,116
549642,157
848142,5
175495,158
341720,159
614466,159
336201,160
870473,160
224945,161
293728,162
864429,39
350677,163
263978,163
801807,164
991884,165
534620,165
685272,165
56760,165
505438,166
142510,167
153743,168
319110,116
256792,116
465846,169
91736,170
408209,171
531804,172
264754,170
608028,172
502390,172
526107,170
875980,35
744228,173
844406,173
286037,173
152051,173
105538,173
285431,173
458781,173
755375,173
141819,173
36777,173
51821,173
572606,173
472105,173
751963,173
834414,173
206080,173
618880,173
745121,173
710306,173
850969,173
745038,116
935116,173
188905,173
272022,173
578379,173
22883,173
414673,173
413260,173
529566,173
877601,174
386191,174
240134,174
537277,174
528239,174
4055,175
922526,174
900093,176
519462,35
732806,35
104180,35
498020,177
29805,35
701199,178
564033,179
418058,180
947858,181
984767,182
669564,183
758078,184
872524,11
817489,116
764273,185
657711,116
391506,186
129612,116
641331,187
754534,187
391188,188
836999,116
622321,116
713670,35
804818,170
271463,189
915028,190
375300,191
780927,192
407567,193
355574,194
873900,35
953945,195
751662,35
111694,35
733874,35
694528,196
536039,197
690872,197
723893,116
410254,116
762774,116
517265,198
202621,198
260311,198
667586,199
816682,116
345396,35
801545,116
420179,200
597121,201
137681,201
768313,201
