viewpoint_id_a,image_id_a,image_path_a,viewpoint_id_b,image_id_b,image_path_b,centroid_similarity,merge_decision,notes
119,87331,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\87331.png,243,613269,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\613269.png,0.982821,,
119,87331,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\87331.png,310,994241,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\004\994241.png,0.982241,,
5,136498,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\136498.png,35,901092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\901092.png,0.981339,,
35,901092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\901092.png,58,226660,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\226660.png,0.981280,,
116,414767,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\414767.png,432,910058,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\910058.png,0.981081,,
116,414767,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\414767.png,125,944782,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\004\944782.png,0.980992,,
5,136498,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\136498.png,340,898092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\898092.png,0.980644,,
243,613269,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\613269.png,310,994241,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\004\994241.png,0.980528,,
256,180624,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\180624.png,317,121301,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\121301.png,0.980340,,
5,136498,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\136498.png,49,690714,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\690714.png,0.980222,,
49,690714,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\690714.png,250,118096,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\118096.png,0.979576,,
318,687906,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\687906.png,1040,816238,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\816238.png,0.979449,,
35,901092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\901092.png,84,239316,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\239316.png,0.978974,,
119,87331,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\87331.png,170,91736,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\91736.png,0.978884,,
455,509695,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\509695.png,1040,816238,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\816238.png,0.978734,,
11,681969,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\681969.png,35,901092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\901092.png,0.978520,,
340,898092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\898092.png,990,922460,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\922460.png,0.977985,,
123,47004,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\47004.png,129,839335,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\839335.png,0.977976,,
206,926308,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\926308.png,415,832061,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\832061.png,0.977920,,
159,341720,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\341720.png,415,832061,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\832061.png,0.977489,,
116,414767,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\414767.png,130,725101,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\725101.png,0.977242,,
35,901092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\901092.png,427,658214,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\658214.png,0.977108,,
5,136498,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\136498.png,301,767555,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\767555.png,0.976994,,
318,687906,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\687906.png,561,667495,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\667495.png,0.976703,,
11,681969,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\681969.png,318,687906,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\687906.png,0.976683,,
35,901092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\901092.png,49,690714,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\690714.png,0.976603,,
5,136498,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\136498.png,315,133820,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\133820.png,0.976534,,
427,658214,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\658214.png,839,725657,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\725657.png,0.976510,,
174,877601,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\877601.png,315,133820,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\133820.png,0.976289,,
206,926308,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\926308.png,1040,816238,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\816238.png,0.976217,,
5,136498,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\136498.png,116,414767,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\414767.png,0.976208,,
5,136498,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\136498.png,11,681969,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\681969.png,0.976196,,
84,239316,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\239316.png,318,687906,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\687906.png,0.976176,,
11,681969,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\681969.png,116,414767,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\414767.png,0.976144,,
11,681969,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\681969.png,847,492455,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\001\492455.png,0.976079,,
250,118096,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\118096.png,990,922460,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\922460.png,0.976038,,
11,681969,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\002\681969.png,723,86245,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\86245.png,0.976032,,
317,121301,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\000\121301.png,340,898092,D:\DS\UVH26_Project\data\raw\UVH-26\UVH-26-Train\data\003\898092.png,0.976008,,
